segment_variable,segment_value,comparison,treatment_users,control_users,treatment_buyers,control_buyers,treatment_conversion_rate,control_conversion_rate,absolute_conversion_lift,relative_conversion_lift,conversion_p_value,treatment_revenue_per_user,control_revenue_per_user,revenue_per_user_lift,is_significant_05
zip_code,Rural,Womens E-Mail vs No E-Mail,3181,3139,37,26,0.011631562401760453,0.00828289264096846,0.003348669760791992,0.4042874761202333,0.18029530100656066,1.2819773656082991,0.7671360305829882,0.5148413350253109,False
zip_code,Surburban,Womens E-Mail vs No E-Mail,9650,9625,73,48,0.0075647668393782385,0.004987012987012987,0.0025777538523652516,0.5168933506044906,0.023476843873356017,0.8466134715025907,0.669442077922078,0.1771713935805127,True
zip_code,Urban,Womens E-Mail vs No E-Mail,8556,8542,79,48,0.009233286582515194,0.005619292905642706,0.003613993676872488,0.6431402914134332,0.005926552614843019,1.2611407199625992,0.5920053851557012,0.669135334806898,True
channel,Multichannel,Mens E-Mail vs No E-Mail,2577,2606,44,18,0.017074117190531625,0.006907137375287797,0.010166979815243827,1.471952744362523,0.0007618181165847432,1.824870003880481,0.6157405986185724,1.2091294052619086,True
channel,Phone,Mens E-Mail vs No E-Mail,9240,9327,100,50,0.010822510822510822,0.005360780529645117,0.005461730292865705,1.0188311688311686,3.228188752852337e-05,1.2085270562770565,0.6444526643079231,0.5640743919691333,True
channel,Web,Mens E-Mail vs No E-Mail,9490,9373,123,54,0.012961011591148578,0.005761229062199936,0.007199782528948642,1.2496955859969558,2.927565086509692e-07,1.5218345626975762,0.6713858956577403,0.8504486670398359,True
channel,Multichannel,Womens E-Mail vs No E-Mail,2579,2606,36,18,0.013958898797983715,0.006907137375287797,0.0070517614226959175,1.0209383481969758,0.012389697763934688,1.7732764637456377,0.6157405986185724,1.1575358651270653,True
channel,Phone,Womens E-Mail vs No E-Mail,9454,9327,67,50,0.00708694732388407,0.005360780529645117,0.0017261667942389536,0.32199915379733435,0.13277958911139304,0.8769261688174319,0.6444526643079231,0.23247350450950877,False
channel,Web,Womens E-Mail vs No E-Mail,9354,9373,86,54,0.009193927731451786,0.005761229062199936,0.0034326986692518498,0.5958274930906962,0.006396903809730835,1.087702587128501,0.6713858956577403,0.4163166914707608,True
newbie,0,Mens E-Mail vs No E-Mail,10621,10611,148,82,0.013934657753507202,0.007727829610781264,0.006206828142725938,0.8031787002739625,1.2510598620759528e-05,1.5133170134638925,0.9353501083780982,0.5779669050857943,True
newbie,1,Mens E-Mail vs No E-Mail,10686,10695,119,40,0.011136065880591428,0.0037400654511453952,0.007396000429446033,1.9775056148231331,3.0966371658942176e-10,1.3324677147669848,0.37244787283777464,0.9600198419292101,True
newbie,0,Womens E-Mail vs No E-Mail,10624,10611,92,82,0.008659638554216868,0.007727829610781264,0.0009318089434356032,0.12057834998530725,0.4513810410852427,1.0493072289156626,0.9353501083780982,0.11395712053756446,False
newbie,1,Womens E-Mail vs No E-Mail,10763,10695,97,40,0.009012357149493635,0.0037400654511453952,0.00527229169834824,1.4096789928458606,1.2454107165078662e-06,1.1047356684939145,0.37244787283777464,0.7322877956561398,True
